iter	Passed	Remaining
131	8697	24248
132	8763	24180
133	8829	24115
134	8891	24039
135	8957	23975
136	9024	23910
137	9089	23844
138	9154	23775
139	9220	23708
140	9286	23643
141	9350	23574
142	9415	23504
143	9478	23432
144	9542	23362
145	9606	23292
146	9671	23224
147	9734	23152
148	9797	23079
149	9858	23002
150	9924	22938
151	9988	22869
152	10055	22805
153	10124	22747
154	10196	22695
155	10263	22633
156	10327	22562
157	10390	22490
158	10456	22426
159	10518	22351
160	10582	22282
161	10647	22214
162	10712	22147
163	10774	22075
164	10841	22011
165	10905	21941
166	10970	21874
167	11038	21813
168	11101	21742
169	11163	21670
170	11230	21606
171	11294	21538
172	11358	21470
173	11421	21398
174	11488	21335
175	11554	21270
176	11618	21201
177	11682	21133
178	11746	21065
179	11811	20998
180	11874	20928
181	11936	20856
182	12004	20794
183	12068	20726
184	12133	20659
185	12197	20591
186	12258	20517
187	12323	20451
188	12394	20394
189	12456	20324
190	12518	20252
191	12583	20186
192	12646	20116
193	12710	20048
194	12776	19983
195	12844	19921
196	12914	19863
197	12979	19796
198	13049	19738
199	13114	19671
200	13176	19601
201	13239	19531
202	13302	19462
203	13369	19398
204	13433	19331
205	13501	19268
206	13566	19202
207	13633	19139
208	13699	19073
209	13765	19009
210	13833	18946
211	13901	18885
212	13970	18824
213	14036	18759
214	14108	18701
215	14187	18653
216	14285	18630
217	14374	18594
218	14460	18554
219	14544	18511
220	14619	18456
221	14701	18410
222	14775	18353
223	14849	18296
224	14930	18248
225	14997	18183
226	15063	18115
227	15129	18049
228	15197	17984
229	15262	17917
230	15333	17855
231	15401	17790
232	15475	17733
233	15539	17664
234	15601	17593
235	15670	17529
236	15737	17463
237	15806	17400
238	15876	17337
239	15945	17274
240	16011	17206
241	16078	17141
242	16142	17072
243	16207	17004
244	16270	16934
245	16336	16867
246	16401	16800
247	16474	16739
248	16539	16672
249	16602	16602
250	16669	16536
251	16732	16467
252	16799	16401
253	16866	16335
254	16929	16265
255	17004	16207
256	17069	16139
257	17133	16071
258	17200	16004
259	17264	15936
260	17331	15870
261	17395	15801
262	17461	15734
263	17525	15666
264	17591	15600
265	17655	15531
266	17718	15461
267	17784	15395
268	17849	15327
269	17915	15261
270	17979	15193
271	18048	15128
272	18112	15060
273	18175	14991
274	18238	14922
275	18303	14855
276	18367	14786
277	18430	14717
278	18494	14649
279	18557	14580
280	18622	14513
281	18688	14446
282	18750	14377
283	18812	14308
284	18878	14241
285	18943	14174
286	19006	14105
287	19068	14036
288	19142	13976
289	19207	13908
290	19270	13840
291	19333	13771
292	19395	13702
293	19463	13637
294	19525	13568
295	19589	13500
296	19651	13432
297	19719	13366
298	19781	13297
299	19845	13230
300	19908	13162
301	19972	13094
302	20035	13026
303	20097	12957
304	20160	12889
305	20227	12823
306	20291	12756
307	20353	12688
308	20417	12620
309	20485	12555
310	20553	12490
311	20623	12426
312	20688	12360
313	20754	12293
314	20818	12226
315	20882	12159
316	20943	12090
317	21008	12023
318	21077	11959
319	21143	11893
320	21208	11826
321	21275	11760
322	21342	11695
323	21407	11628
324	21472	11562
325	21534	11494
326	21598	11426
327	21662	11359
328	21724	11291
329	21791	11225
330	21857	11159
331	21922	11093
332	21990	11028
333	22055	10961
334	22119	10894
335	22186	10829
336	22252	10763
337	22318	10697
338	22383	10630
339	22450	10564
340	22513	10497
341	22575	10429
342	22641	10363
343	22706	10296
344	22768	10229
345	22845	10168
346	22921	10106
347	22992	10042
348	23058	9976
349	23130	9912
350	23200	9848
351	23272	9785
352	23345	9721
353	23415	9657
354	23481	9590
355	23544	9523
356	23605	9455
357	23668	9387
358	23728	9319
359	23790	9251
360	23854	9185
361	23916	9117
362	23977	9049
363	24038	8981
364	24100	8913
365	24161	8846
366	24222	8778
367	24287	8711
368	24349	8644
369	24415	8578
370	24478	8511
371	24539	8443
372	24599	8375
373	24659	8307
374	24720	8240
375	24781	8172
376	24843	8105
377	24907	8038
378	24975	7973
379	25051	7911
380	25119	7845
381	25186	7780
382	25251	7713
383	25318	7648
384	25384	7582
385	25447	7515
386	25509	7448
387	25574	7382
388	25641	7316
389	25711	7252
390	25775	7185
391	25844	7120
392	25912	7055
393	25976	6988
394	26037	6921
395	26102	6855
396	26164	6788
397	26226	6721
398	26288	6654
399	26350	6587
400	26415	6521
401	26476	6454
402	26539	6387
403	26602	6321
404	26666	6255
405	26728	6188
406	26793	6122
407	26855	6055
408	26921	5989
409	26989	5924
410	27051	5857
411	27112	5791
412	27172	5723
413	27231	5656
414	27292	5589
415	27356	5523
416	27418	5457
417	27479	5390
418	27540	5324
419	27602	5257
420	27683	5194
421	27748	5128
422	27813	5062
423	27873	4996
424	27936	4929
425	27999	4863
426	28060	4797
427	28122	4730
428	28184	4664
429	28243	4597
430	28302	4531
431	28364	4464
432	28424	4398
433	28486	4332
434	28546	4265
435	28608	4199
436	28668	4132
437	28730	4066
438	28790	4000
439	28849	3934
440	28911	3868
441	28972	3801
442	29032	3735
443	29095	3669
444	29157	3603
445	29219	3537
446	29281	3471
447	29341	3405
448	29402	3339
449	29464	3273
450	29523	3207
451	29586	3141
452	29648	3076
453	29710	3010
454	29770	2944
455	29835	2878
456	29895	2812
457	29955	2746
458	30016	2681
459	30076	2615
460	30138	2549
461	30199	2483
462	30259	2418
463	30318	2352
464	30379	2286
465	30440	2221
466	30501	2155
467	30560	2089
468	30624	2024
469	30684	1958
470	30747	1893
471	30808	1827
472	30869	1762
473	30934	1696
474	31000	1631
475	31070	1566
476	31133	1501
477	31193	1435
478	31252	1370
479	31312	1304
480	31374	1239
481	31437	1173
482	31495	1108
483	31556	1043
484	31616	977
485	31676	912
486	31735	847
487	31801	782
488	31861	716
489	31924	651
490	31987	586
491	32047	521
492	32112	455
493	32172	390
494	32233	325
495	32292	260
496	32359	195
497	32419	130
498	32479	65
499	32538	0
