iter	Logloss
115	0.3843880887
116	0.3835190837
117	0.3825495063
118	0.3817038303
119	0.3807877943
120	0.3800487603
121	0.3792173937
122	0.3784368896
123	0.3774026828
124	0.3765296766
125	0.3756040446
126	0.3747712199
127	0.374175076
128	0.3733372667
129	0.3720136854
130	0.3711690267
131	0.3701428223
132	0.3686973402
133	0.3680070665
134	0.3669449192
135	0.3664322238
136	0.3656644016
137	0.3646175469
138	0.3639046224
139	0.3631376478
140	0.3626551649
141	0.3614916653
142	0.3608770752
143	0.3602114529
144	0.359314643
145	0.3586142307
146	0.3579034424
147	0.3568826972
148	0.3561014472
149	0.3553140598
150	0.3546158854
151	0.3536753337
152	0.3528986952
153	0.3519961887
154	0.3515184191
155	0.3509967719
156	0.3506112332
157	0.350128852
158	0.3496113417
159	0.3490798611
160	0.3481628418
161	0.3474755181
162	0.3465540229
163	0.3459150526
164	0.3453209771
165	0.3448578559
166	0.3440352715
167	0.3435043674
168	0.3427853054
169	0.3424467977
170	0.3414737617
171	0.3408081733
172	0.3401290554
173	0.3395520698
174	0.3386317274
175	0.3382417806
176	0.3376106093
177	0.337028673
178	0.3360188124
179	0.3356537543
180	0.3350607978
181	0.3344783529
182	0.3341297065
183	0.3332063124
184	0.3325986735
185	0.3320433553
186	0.3313186306
187	0.3308673774
188	0.3304950629
189	0.3300799561
190	0.3291620551
191	0.3286104669
192	0.3279400635
193	0.3276698473
194	0.3271403673
195	0.3262887573
196	0.325652398
197	0.3251427544
198	0.3245824856
199	0.3243410916
200	0.3239944119
201	0.3234708659
202	0.3227971395
203	0.3222813924
204	0.322136027
205	0.3214726427
206	0.3211281331
207	0.3207246568
208	0.3203008016
209	0.3193340386
210	0.3190145535
211	0.3184515381
212	0.3178352865
213	0.3171702745
214	0.3170328437
215	0.3166934543
216	0.3163391113
217	0.3158454047
218	0.3153611925
219	0.3151661513
220	0.3148534139
221	0.3141481188
222	0.3134191216
223	0.3130274116
224	0.312735121
225	0.3122878689
226	0.3116094293
227	0.311075609
228	0.3107796902
229	0.3100405545
230	0.3099133301
231	0.309020284
232	0.3086407471
233	0.3078112115
234	0.3067601861
235	0.3064088949
236	0.3061085002
237	0.3057011244
238	0.3054651557
239	0.3050722249
240	0.3046458605
241	0.304375373
242	0.3041122776
243	0.3035813056
244	0.3032278781
245	0.3029074775
246	0.3023452759
247	0.3019412571
248	0.3015894233
249	0.301373291
250	0.301074863
251	0.3005910238
252	0.3001575046
253	0.2996414863
254	0.2991390652
255	0.2988091024
256	0.2985503133
257	0.298305325
258	0.2979134793
259	0.2977935452
260	0.2972125244
261	0.2965406969
262	0.2962724474
263	0.2958570014
264	0.2955572849
265	0.2951059638
266	0.2946318224
267	0.2941549344
268	0.2939732191
269	0.2937105984
270	0.293110555
271	0.2927642483
272	0.2925047133
273	0.292111579
274	0.2917587958
275	0.2915018039
276	0.2911090088
277	0.29088935
278	0.2905507067
279	0.2903750271
280	0.289917806
281	0.2896441311
282	0.2894165039
283	0.2887623427
284	0.2882868449
285	0.2881800673
286	0.2877866618
287	0.2874730428
288	0.2868172201
289	0.286158176
290	0.2859412977
291	0.2856718953
292	0.2853601413
293	0.2848981052
294	0.2846479628
295	0.28409434
296	0.2839137777
297	0.2835192532
298	0.2829899428
299	0.2826168484
300	0.2822181532
301	0.2819414944
302	0.2817343987
303	0.2811743164
304	0.2808041382
305	0.2805480957
306	0.2801494344
307	0.2798289659
308	0.2796139357
309	0.2792155965
310	0.2791135661
311	0.2789126248
312	0.27817315
313	0.277858039
314	0.2777579414
315	0.2773547363
316	0.2771598477
317	0.2765225559
318	0.2763604567
319	0.2762027995
320	0.2760459222
321	0.2757858785
322	0.2754812113
323	0.2753222995
324	0.2751024204
325	0.2749587335
326	0.2748036363
327	0.2745393372
328	0.2743334283
329	0.2741006639
330	0.2738876004
331	0.273556349
332	0.2730771552
333	0.2728062609
334	0.2724578518
335	0.2723064338
336	0.271858351
337	0.2716749064
338	0.2710375468
339	0.270786438
340	0.2706923082
341	0.2701548428
342	0.2698629252
343	0.2695663283
344	0.2694213867
345	0.2690835571
346	0.2686553446
347	0.2683330112
348	0.2679668172
349	0.2677791002
350	0.2673634508
351	0.2671063402
352	0.2669104004
353	0.2663798523
354	0.2662421332
355	0.2660016208
356	0.2655999756
357	0.2654611884
358	0.2650710381
359	0.2649238417
360	0.2647547234
361	0.2645631578
362	0.2644191488
363	0.2642396037
364	0.2640656535
365	0.2638328044
366	0.2634289551
367	0.2632278612
368	0.2630060662
369	0.2629168362
370	0.2627775235
371	0.2622633531
372	0.2619967312
373	0.2618658786
374	0.2613754272
375	0.2610904778
376	0.2606936646
377	0.2605135939
378	0.2602605693
379	0.2599653117
380	0.2597106255
381	0.2594301012
382	0.2591301134
383	0.2589514838
384	0.2587294854
385	0.2585371908
386	0.2582309638
387	0.2580946181
388	0.2579574755
389	0.2578223165
390	0.2574645318
391	0.2572554525
392	0.2571179877
393	0.2567388068
394	0.2565386285
395	0.2563657125
396	0.2561847263
397	0.2560584513
398	0.2558686659
399	0.2557844035
400	0.2554229058
401	0.2550853475
402	0.2549065823
403	0.2546886359
404	0.2544362217
405	0.254021386
406	0.2538906182
407	0.2535805596
408	0.2532058038
409	0.2530785794
410	0.2526909892
411	0.2524405246
412	0.2520646837
413	0.2515476651
414	0.2514661153
415	0.2512077162
416	0.2510391066
417	0.2507717726
418	0.250395423
419	0.2502700467
420	0.2501027086
421	0.2499821472
422	0.2497266642
423	0.2495522563
424	0.2493469747
425	0.2491812812
426	0.2488167657
427	0.2486955431
428	0.2481791178
429	0.248053911
430	0.2478599887
431	0.247465549
432	0.2472880385
433	0.2469178263
434	0.2468398031
435	0.2467133586
436	0.24652771
437	0.2462697856
438	0.2460232713
439	0.24563463
440	0.2454366048
441	0.2453137885
442	0.2449784173
443	0.2448062642
444	0.2444870673
445	0.2442351956
446	0.2440783691
447	0.2439587402
448	0.2438009983
449	0.2433717516
450	0.2432466634
451	0.2429908244
452	0.2428165351
453	0.242566647
454	0.2424495104
455	0.2420508491
456	0.2418708971
457	0.2414932929
458	0.241093004
459	0.2410181003
460	0.2408995226
461	0.2407798089
462	0.2404936388
463	0.2403127713
464	0.2398959012
465	0.2397670152
466	0.2396453179
467	0.2394913907
468	0.2393102349
469	0.2391563585
470	0.2388537259
471	0.2387355211
472	0.2384461466
473	0.2383281962
474	0.2381729296
475	0.2380563694
476	0.2374777222
477	0.237249349
478	0.2371348233
479	0.2365705872
480	0.2364551799
481	0.2363416036
482	0.2362690904
483	0.2361193169
484	0.2359478082
485	0.2355050659
486	0.2352524821
487	0.2351403809
488	0.2350248549
489	0.2348003811
490	0.2346870253
491	0.2345769586
492	0.2343727281
493	0.2342440457
494	0.233982171
495	0.233644104
496	0.2334161716
497	0.2332362705
498	0.2330831061
499	0.2329660543
