iter	Logloss
0	0.6644721137
1	0.6417308214
2	0.6288069661
3	0.6145791287
4	0.604941135
5	0.5960313585
6	0.5876966688
7	0.5817515734
8	0.5776374647
9	0.5708344184
10	0.5667826335
11	0.5617018636
12	0.5572070991
13	0.5528575982
14	0.5470801459
15	0.5433995565
16	0.5397832235
17	0.5359207153
18	0.5327222358
19	0.5288994005
20	0.5252245416
21	0.5226515706
22	0.518770718
23	0.5155951267
24	0.5125230916
25	0.5105696954
26	0.5082937961
27	0.5062545098
28	0.5033911133
29	0.5006583659
30	0.4979868232
31	0.4958474392
32	0.4936844211
33	0.4919376289
34	0.4891678874
35	0.487297092
36	0.4852237956
37	0.4831611803
38	0.4816202799
39	0.4794883558
40	0.4780449083
41	0.476106703
42	0.4742491659
43	0.4724878608
44	0.471017863
45	0.4692910428
46	0.4677592299
47	0.4656472439
48	0.4643140327
49	0.4626391262
50	0.4613489787
51	0.4600644938
52	0.459120246
53	0.4576957194
54	0.4563703749
55	0.4547140164
56	0.4534472656
57	0.4522129991
58	0.4505053033
59	0.449352417
60	0.4477067735
61	0.4469332547
62	0.4459086778
63	0.4439050293
64	0.4428902859
65	0.441245931
66	0.4402068414
67	0.4388067966
68	0.4374567668
69	0.4361239285
70	0.4351451959
71	0.4339593506
72	0.4325854492
73	0.4314363607
74	0.4300733778
75	0.4293528239
76	0.4278840468
77	0.4268153212
78	0.4254827203
79	0.4242089844
80	0.4231201511
81	0.4221129015
82	0.4211762831
83	0.4203512234
84	0.4191374376
85	0.418140191
86	0.417071228
87	0.4161886597
88	0.4150206163
89	0.4128383721
90	0.4116193644
91	0.410542433
92	0.4095543755
93	0.4084968736
94	0.4072650146
95	0.4063385349
96	0.405080702
97	0.4041047499
98	0.4029290093
99	0.4018058946
100	0.4005308363
101	0.3993399387
102	0.3984281074
103	0.3973453776
104	0.3962213813
105	0.3950554742
106	0.3940843031
107	0.39283176
108	0.391905721
109	0.3909018283
110	0.3898084852
111	0.3888786485
112	0.3879368083
113	0.3870140923
114	0.3856382582
